date,state,location,fuel_type,price_cpl
2026-04-01,WA,Perth,ulp91,204.6
2026-04-02,QLD,Brisbane,diesel,312.0
2026-04-02,QLD,Brisbane,e10,212.0
2026-04-02,QLD,Brisbane,p95,216.2
2026-04-02,QLD,Brisbane,p98,233.5
2026-04-02,QLD,Brisbane,ulp91,207.6
2026-04-02,WA,Perth,diesel,300.5
2026-04-02,WA,Perth,p95,217.5
2026-04-02,WA,Perth,p98,227.5
2026-04-02,WA,Perth,ulp91,206.4
2026-04-06,WA,Perth,diesel,294.2
2026-04-06,WA,Perth,p95,211.2
2026-04-06,WA,Perth,p98,221.3
2026-04-06,WA,Perth,ulp91,200.2
2026-04-08,QLD,Brisbane,diesel,302.5
2026-04-08,QLD,Brisbane,ulp91,194.4
2026-04-08,VIC,Melbourne,diesel,297.6
2026-04-08,VIC,Melbourne,p98,239.7
2026-04-08,VIC,Melbourne,ulp91,210.2
2026-04-08,WA,Perth,diesel,317.3
2026-04-08,WA,Perth,p95,219.0
2026-04-08,WA,Perth,p98,229.0
2026-04-08,WA,Perth,ulp91,207.9
2026-04-09,QLD,Brisbane,diesel,329.9
2026-04-09,QLD,Brisbane,e10,199.2
2026-04-09,QLD,Brisbane,p95,214.2
2026-04-09,QLD,Brisbane,p98,230.7
2026-04-09,QLD,Brisbane,ulp91,198.9
2026-04-09,WA,Perth,diesel,313.1
2026-04-09,WA,Perth,p95,213.3
2026-04-09,WA,Perth,p98,223.4
2026-04-09,WA,Perth,ulp91,202.3
2026-04-10,QLD,Brisbane,diesel,317.2
2026-04-10,QLD,Brisbane,e10,198.9
2026-04-10,QLD,Brisbane,p95,210.6
2026-04-10,QLD,Brisbane,p98,227.1
2026-04-10,QLD,Brisbane,ulp91,196.1
2026-04-10,VIC,Melbourne,diesel,302.7
2026-04-10,VIC,Melbourne,p98,226.5
2026-04-10,VIC,Melbourne,ulp91,196.6
2026-04-10,WA,Perth,diesel,291.0
2026-04-10,WA,Perth,p95,208.1
2026-04-10,WA,Perth,p98,218.2
2026-04-10,WA,Perth,ulp91,197.1
2026-04-13,WA,Perth,diesel,289.1
2026-04-13,WA,Perth,p95,207.7
2026-04-13,WA,Perth,p98,217.8
2026-04-13,WA,Perth,ulp91,196.7
